	Spearman	pvalue
CCT6A	-0.0375	0.6971
CCT6B	-0.3596	0.0001
CCT6P1	-0.4463	0.0
CCT6P3	-0.2194	0.0213
CCT7	0.2207	0.0205
CCT8	-0.236	0.013
CCT8P1	-0.3759	0.0001
CCZ1	0.1394	0.1464
CCZ1B	-0.0314	0.7446
CD101	0.0361	0.7084
CD109	0.3042	0.0012
CD14	0.8063	0.0
CD151	0.5278	0.0
CD160	-0.0429	0.6563
CD163	0.7946	0.0
CD163L1	0.6267	0.0
CD164	-0.0131	0.8917
CD164L2	-0.2724	0.004
CD177	0.4221	0.0
CD180	0.3464	0.0002
CD19	0.1412	0.1413
CD1C	0.5519	0.0
CD1D	0.6575	0.0
CD1E	0.2425	0.0107
CD2	0.1624	0.09
CD200	-0.1291	0.1789
CD200R1	0.5811	0.0
CD207	0.0386	0.689
CD209	0.7121	0.0
CD22	0.3349	0.0003
CD226	0.0144	0.8814
CD24	-0.2947	0.0018
CD244	0.5674	0.0
CD247	0.2855	0.0025
CD248	0.6695	0.0
CD27	0.1318	0.1698
CD27-AS1	-0.0515	0.5934
CD274	-0.0399	0.6789
CD276	0.6296	0.0
CD28	0.6896	0.0
CD2AP	-0.531	0.0
CD2BP2	0.3022	0.0013
CD300A	0.8293	0.0
CD300C	0.8954	0.0
CD300E	0.6971	0.0
CD300LB	0.8133	0.0
CD300LF	0.5939	0.0
CD300LG	0.2787	0.0032
CD302	0.0462	0.632
CD320	0.5007	0.0
CD33	0.8364	0.0
CD34	0.4786	0.0
CD36	0.2529	0.0077
CD37	0.7183	0.0
CD38	0.3306	0.0004
CD3D	0.2303	0.0155
CD3E	0.1777	0.0633
CD3EAP	-0.2661	0.005
CD3G	0.0779	0.4184
CD4	0.8789	0.0
CD40	0.5607	0.0
CD40LG	0.1534	0.1096
CD44	0.0492	0.61
CD46	-0.2056	0.0312
CD47	-0.2059	0.0309
CD48	0.3402	0.0003
CD5	0.3342	0.0004
CD52	0.6859	0.0
CD53	0.77	0.0
CD55	0.335	0.0003
CD58	0.3496	0.0002
CD59	0.2459	0.0096
CD6	0.2327	0.0144
CD63	0.603	0.0
CD68	0.7124	0.0
CD69	0.1158	0.2283
CD7	0.4121	0.0
CD70	0.6196	0.0
CD72	0.5422	0.0
CD74	0.826	0.0
CD79A	0.013	0.8927
CD79B	0.566	0.0
CD80	0.3947	0.0
CD81	0.5342	0.0
CD82	-0.0354	0.7133
CD83	0.4029	0.0
CD84	0.6775	0.0
CD86	0.8428	0.0
CD8A	0.0109	0.9097
CD8B	0.0506	0.6
CD9	-0.1262	0.189
CD93	0.437	0.0
CD96	0.0756	0.4323
CD97	0.7518	0.0
CD99	0.6169	0.0
CD99L2	0.4506	0.0
CD99P1	0.2727	0.0039
CDA	0.5812	0.0
CDADC1	-0.0405	0.6745
CDAN1	-0.3096	0.001
CDC123	0.3428	0.0002
CDC14A	-0.4317	0.0
CDC14B	-0.0209	0.8288
CDC16	0.0397	0.6807
CDC20	0.1803	0.0594
CDC20P1	-0.1869	0.0505
CDC23	-0.4971	0.0
CDC25A	-0.0948	0.3246
CDC25B	0.6456	0.0
CDC25C	0.0272	0.7781
CDC26	0.3645	0.0001
CDC27	0.0524	0.5869
CDC34	0.2676	0.0047
CDC37	0.4193	0.0
CDC37L1	0.0292	0.7622
CDC37L1-AS1	0.0089	0.9261
CDC40	-0.4132	0.0
CDC42	0.2599	0.0061
CDC42BPA	0.0452	0.6388
CDC42BPB	0.2124	0.0259
CDC42BPG	-0.2765	0.0035
CDC42EP1	0.2752	0.0036
CDC42EP2	0.5099	0.0
CDC42EP3	-0.0524	0.5866
CDC42EP4	0.0736	0.4449
CDC42EP5	0.2867	0.0024
CDC42P6	0.0674	0.4844
CDC42SE1	-0.2763	0.0035
CDC42SE2	-0.2731	0.0039
CDC45	0.1598	0.0954
CDC5L	-0.5117	0.0
CDC6	0.0653	0.4981
CDC7	0.1328	0.1667
CDC73	-0.1789	0.0615
CDCA2	-0.019	0.844
CDCA3	0.0888	0.3561
CDCA4	-0.0069	0.943
CDCA5	0.094	0.3288
CDCA7	-0.2883	0.0023
CDCA7L	-0.4857	0.0
CDCA8	0.0212	0.8263
CDCP1	-0.2968	0.0016
CDH1	-0.4451	0.0
CDH11	0.1104	0.2508
CDH13	0.2178	0.0223
CDH2	-0.1182	0.2187
CDH23	0.27	0.0043
CDH24	0.5492	0.0
CDH26	0.4162	0.0
CDH3	-0.1558	0.1042
CDH4	-0.2197	0.0211
CDH5	0.4421	0.0
CDH6	0.3161	0.0008
CDH8	-0.1567	0.1021
CDHR1	-0.1037	0.2811
CDHR2	-0.2174	0.0225
CDHR3	-0.117	0.2233
CDIP1	0.236	0.0131
CDIPT	0.4175	0.0
CDK1	0.1549	0.1061
CDK10	0.1326	0.1671
CDK11A	0.2036	0.0329
CDK11B	0.3291	0.0004
CDK12	-0.4	0.0
CDK13	-0.5482	0.0
CDK14	-0.2458	0.0096
CDK15	0.2829	0.0027
CDK16	0.3531	0.0002
CDK17	-0.2619	0.0057
CDK18	-0.0394	0.6827
CDK19	-0.3705	0.0001
CDK2	-0.1114	0.2465
CDK20	-0.3347	0.0004
CDK2AP1	0.334	0.0004
CDK2AP2	0.5148	0.0
CDK3	-0.1279	0.1831
CDK4	0.1912	0.0454
CDK5	0.252	0.0079
CDK5R1	-0.0979	0.309
CDK5RAP1	-0.1137	0.2369
CDK5RAP2	-0.3242	0.0005
CDK5RAP3	-0.0376	0.6966
CDK6	-0.1768	0.0647
CDK7	-0.379	0.0
CDK8	0.1291	0.179
CDK9	0.3942	0.0
CDKAL1	-0.3974	0.0
CDKL1	0.2433	0.0104
CDKL3	-0.1645	0.086
CDKL5	-0.5578	0.0
CDKN1A	0.2426	0.0107
CDKN1B	-0.3043	0.0012
CDKN1C	0.293	0.0019
CDKN2A	0.3547	0.0001
CDKN2AIP	-0.4821	0.0
CDKN2AIPNL	0.1407	0.1426
CDKN2B	0.3723	0.0001
CDKN2B-AS1	0.0402	0.677
CDKN2C	0.1796	0.0605
CDKN2D	0.5213	0.0
CDKN3	0.3332	0.0004
CDNF	-0.6739	0.0
CDO1	0.301	0.0014
CDON	0.3151	0.0008
CDPF1	0.1129	0.2402
CDR2	0.2236	0.0189
CDR2L	0.4092	0.0
CDRT4	-0.1521	0.1127
CDS1	-0.3613	0.0001
CDS2	-0.0246	0.7984
CDT1	0.0502	0.6022
CDV3	0.1991	0.0371
CDX1	0.2108	0.027
CDYL	-0.0965	0.3161
CDYL2	-0.1595	0.0961
CEACAM1	-0.2775	0.0033
CEACAM19	-0.067	0.4865
CEACAM21	0.6069	0.0
CEACAM5	-0.0387	0.688
CEACAM6	-0.0968	0.3145
CEBPA	0.3624	0.0001
CEBPA-AS1	0.3061	0.0011
CEBPB	0.3902	0.0
CEBPB-AS1	-0.1037	0.281
CEBPD	0.309	0.001
CEBPG	0.2563	0.0069
CEBPZ	-0.5315	0.0
CEBPZOS	-0.1297	0.1768
CECR1	0.3212	0.0006
CECR2	-0.2398	0.0116
CECR5	0.0185	0.8481
CECR6	0.0209	0.8288
CECR7	-0.2864	0.0024
CEL	-0.0872	0.3648
CELF1	-0.1439	0.1337
CELF2	0.3316	0.0004
CELF4	-0.1309	0.1727
CELF5	-0.3316	0.0004
CELSR1	-0.2096	0.028
CELSR2	-0.3713	0.0001
CELSR3	-0.209	0.0285
CEMIP	-0.1578	0.0997
CENPA	0.2353	0.0133
CENPB	0.4013	0.0
CENPBD1	-0.1087	0.2582
CENPBD1P1	0.2729	0.0039
CENPC	-0.5533	0.0
CENPE	0.1739	0.0692
CENPF	-0.042	0.6629
CENPH	-0.1476	0.1237
CENPI	0.0415	0.6669
CENPJ	-0.4872	0.0
CENPK	-0.117	0.2235
CENPL	-0.093	0.3339
CENPM	0.0825	0.3915
CENPN	0.1382	0.1499
CENPO	0.0508	0.5985
CENPP	0.0887	0.3566
CENPQ	-0.2198	0.021
CENPT	0.1326	0.1672
CENPU	-0.0029	0.9762
CENPV	-0.4642	0.0
CENPW	0.1868	0.0508
CEP104	-0.0818	0.3957
CEP112	0.295	0.0018
CEP120	-0.2365	0.0129
CEP128	-0.389	0.0
CEP131	0.0283	0.7691
CEP135	-0.3464	0.0002
CEP152	-0.0207	0.8301
CEP162	-0.3686	0.0001
CEP164	-0.1306	0.1738
CEP170	0.0274	0.7764
CEP170B	0.194	0.0422
CEP19	0.244	0.0102
CEP192	-0.4152	0.0
CEP250	-0.0437	0.6503
CEP290	-0.4199	0.0
CEP295	-0.5328	0.0
CEP350	-0.275	0.0036
CEP41	-0.1204	0.2103
CEP44	-0.5876	0.0
CEP55	0.2543	0.0074
CEP57	-0.5491	0.0
CEP57L1	0.0283	0.7689
CEP63	-0.0798	0.4071
CEP68	-0.0961	0.318
CEP70	-0.4861	0.0
CEP72	-0.4267	0.0
CEP76	-0.5509	0.0
CEP78	-0.4785	0.0
CEP83	-0.434	0.0
CEP83-AS1	-0.434	0.0
CEP85	-0.3494	0.0002
CEP85L	-0.132	0.1694
CEP89	-0.2552	0.0071
CEP95	-0.5159	0.0
CEP97	-0.3938	0.0
CEPT1	-0.0832	0.3877
CERCAM	0.5577	0.0
CERK	0.3343	0.0004
CERKL	0.228	0.0166
CERS2	0.047	0.6261
CERS4	-0.2254	0.0179
CERS5	0.0668	0.4878
CERS6	-0.5687	0.0
CES1	0.4941	0.0
CES2	0.0951	0.323
CES3	-0.2907	0.0021
CES4A	-0.3713	0.0001
CETN2	0.1834	0.0552
CETN3	-0.353	0.0002
CETP	0.4361	0.0
CFAP20	-0.0132	0.8907
CFAP221	0.3324	0.0004
CFAP36	-0.1186	0.2171
CFAP43	-0.4873	0.0
CFAP44	-0.4785	0.0
CFAP45	0.1344	0.1617
CFAP46	-0.1913	0.0453
CFAP53	-0.3055	0.0012
CFAP54	-0.2593	0.0062
CFAP57	-0.0349	0.7176
CFAP58	0.0817	0.3963
CFAP61	0.1823	0.0566
CFAP69	-0.2373	0.0126
CFAP70	-0.442	0.0
CFAP97	-0.4515	0.0
CFB	0.4504	0.0
CFD	0.4963	0.0
CFDP1	0.1414	0.1407
CFH	0.5406	0.0
CFI	0.5192	0.0
CFL1	0.6058	0.0
CFL1P1	-0.4648	0.0
CFL1P5	-0.3177	0.0007
CFL2	0.1857	0.0521
CFLAR	0.1356	0.1577
CFLAR-AS1	0.0239	0.8039
CFP	0.8159	0.0
CGGBP1	-0.2221	0.0197
CGN	-0.3599	0.0001
CGNL1	-0.4007	0.0
CGREF1	0.1269	0.1865
CGRRF1	-0.0663	0.4912
CH17-118O6.2	0.1956	0.0406
CH17-189H20.1	0.2145	0.0245
CH17-264L24.1	-0.307	0.0011
CH17-340M24.3	0.3618	0.0001
CH17-431G21.1	-0.3847	0.0
CH17-437K3.1	0.5166	0.0
CH17-472G23.2	0.2945	0.0018
CH17-472G23.4	0.0923	0.3373
CH25H	0.3321	0.0004
CH507-42P11.8	-0.0244	0.8002
CH507-513H4.1	-0.0147	0.8788
CH507-513H4.5	0.1245	0.1949
CH507-9B2.3	0.1134	0.2382
CH507-9B2.5	-0.0519	0.59
CH507-9B2.9	0.1075	0.2635
CHAC1	0.0628	0.5147
CHAC2	0.2916	0.002
CHAD	-0.2764	0.0035
CHADL	0.1247	0.1942
CHAF1A	0.1431	0.1357
CHAF1B	-0.2093	0.0282
CHAMP1	-0.3612	0.0001
CHCHD1	0.2986	0.0015
CHCHD10	0.2755	0.0036
CHCHD2	0.2886	0.0022
CHCHD2P2	0.1878	0.0495
CHCHD2P6	0.1213	0.2066
CHCHD2P9	0.1242	0.1962
CHCHD3	0.2405	0.0114
CHCHD4	0.2586	0.0064
CHCHD5	0.2206	0.0206
CHCHD6	0.1419	0.1392
CHCHD7	0.025	0.7953
CHD1	-0.2849	0.0026
CHD1L	-0.002	0.9837
CHD2	-0.5332	0.0
CHD3	-0.1791	0.0612
CHD4	-0.289	0.0022
CHD6	-0.5968	0.0
CHD7	-0.4401	0.0
CHD8	-0.5525	0.0
CHD9	-0.3729	0.0001
CHDH	-0.4268	0.0
CHEK1	-0.0225	0.8159
CHEK2	0.0756	0.4328
CHERP	-0.1877	0.0496
CHFR	0.5441	0.0
CHI3L1	0.165	0.0849
CHI3L2	0.146	0.1281
CHIC1	-0.228	0.0166
CHIC2	-0.0304	0.7525
CHID1	0.3315	0.0004
CHIT1	0.4676	0.0
CHKA	-0.4485	0.0
CHKB	0.1383	0.1497
CHKB-AS1	0.1345	0.1613
CHKB-CPT1B	-0.3666	0.0001
CHL1	-0.0058	0.9524
CHM	-0.24	0.0116
CHML	-0.5893	0.0
CHMP1A	0.3357	0.0003
CHMP1B	-0.0196	0.8391
CHMP1B2P	-0.4731	0.0
CHMP2A	0.4214	0.0
CHMP2B	0.0246	0.7986
CHMP3	0.027	0.7793
CHMP4A	0.1438	0.1339
CHMP4B	0.3298	0.0004
CHMP4C	-0.4893	0.0
CHMP5	0.1663	0.0825
CHMP6	0.2946	0.0018
CHMP7	0.3828	0.0
CHN1	0.3342	0.0004
CHN2	0.2727	0.004
CHODL	-0.2354	0.0133
CHORDC1	-0.2731	0.0039
CHP1	0.0694	0.4716
CHPF	0.2348	0.0136
CHPF2	0.4011	0.0
CHPT1	-0.2486	0.0088
CHRAC1	0.1535	0.1094
CHRD	0.6413	0.0
CHRDL1	0.3808	0.0
CHRDL2	0.1573	0.1007
CHRM1	-0.3128	0.0009
CHRM3	-0.4571	0.0
CHRNA1	0.2684	0.0046
CHRNA10	0.0301	0.7547
CHRNA5	-0.253	0.0077
CHRNA6	0.0135	0.8889
CHRNB1	0.3099	0.001
CHRNB2	-0.3594	0.0001
CHRNE	0.1087	0.2581
CHST1	0.1989	0.0372
CHST10	-0.0328	0.7339
CHST11	0.6138	0.0
CHST12	0.5908	0.0
CHST13	0.5237	0.0
CHST14	0.314	0.0008
CHST15	0.0185	0.8478
CHST2	0.4719	0.0
CHST3	0.2331	0.0143
CHST6	0.1873	0.0501
CHST7	0.4914	0.0
CHST8	0.1676	0.08
CHST9	-0.3534	0.0002
CHSY1	-0.164	0.0869
CHSY3	0.4026	0.0
CHTF18	-0.0036	0.9705
CHTF8	0.0708	0.4623
CHTOP	-0.2117	0.0264
CHUK	0.052	0.5892
CHURC1	0.1137	0.2368
CIAO1	0.0115	0.9054
CIAPIN1	0.3561	0.0001
CIART	-0.2019	0.0344
CIB1	0.3852	0.0
CIB2	0.3273	0.0005
CIC	-0.0568	0.5554
CICP14	-0.2245	0.0184
CIDEB	0.1905	0.0462
CIDEC	0.3152	0.0008
CIDECP	0.3263	0.0005
CIITA	0.5165	0.0
CILP	0.4664	0.0
CILP2	0.3763	0.0001
CINP	0.1506	0.1163
CIPC	-0.6835	0.0
CIR1	-0.0551	0.5673
CIRBP	-0.3414	0.0003
CIRBP-AS1	-0.0008	0.9933
CIRH1A	-0.0851	0.3769
CISD1	-0.0006	0.9954
CISD2	0.2406	0.0113
CISD3	0.3767	0.0
CISH	-0.1111	0.2477
CIT	0.2143	0.0246
CITED1	-0.1499	0.1181
CITED2	-0.0253	0.7929
CITED4	-0.1664	0.0823
CITF22-1A6.3	0.1327	0.1669
CITF22-49E9.3	0.359	0.0001
CITF22-92A6.1	0.1002	0.2978
CIZ1	0.1227	0.2016
CKAP2	-0.1083	0.26
CKAP2L	0.1053	0.2736
CKAP4	0.4415	0.0
CKAP5	-0.1969	0.0392
CKB	0.336	0.0003
CKLF	0.531	0.0
CKLF-CMTM1	-0.0079	0.9349
CKMT1A	-0.176	0.0659
CKMT1B	-0.1656	0.0838
CKMT2	0.1376	0.1518
CKMT2-AS1	-0.5029	0.0
CKS1B	0.1081	0.261
CKS2	0.0259	0.7884
CLASP1	-0.2242	0.0185
CLASP2	-0.4461	0.0
CLASRP	-0.104	0.2796
CLCA2	-0.0966	0.3154
CLCC1	-0.1533	0.1097
CLCF1	0.2893	0.0022
CLCN2	-0.2047	0.0319
CLCN3	-0.5168	0.0
CLCN4	0.2755	0.0036
CLCN5	0.3248	0.0005
CLCN6	-0.0465	0.6298
CLCN7	0.3294	0.0004
CLCNKA	0.145	0.1307
CLDN1	-0.0921	0.3388
CLDN11	-0.0193	0.8415
CLDN12	-0.5193	0.0
CLDN14	0.1941	0.0421
CLDN15	0.6433	0.0
CLDN23	0.2352	0.0134
CLDN3	-0.0326	0.7356
CLDN4	-0.1424	0.1378
CLDN5	0.5647	0.0
CLDN7	-0.1179	0.22
CLDN8	-0.371	0.0001
CLDN9	0.0236	0.8064
CLDND1	-0.0093	0.9231
CLDND2	0.2349	0.0135
CLEC10A	0.8118	0.0
CLEC11A	0.2857	0.0025
CLEC12A	0.4937	0.0
CLEC14A	0.467	0.0
CLEC16A	-0.1765	0.0652
CLEC1A	0.4488	0.0
CLEC2B	0.4548	0.0
CLEC2D	-0.179	0.0613
CLEC3B	0.5647	0.0
CLEC4A	0.6814	0.0
CLEC4E	0.6298	0.0
CLEC4F	-0.0415	0.6665
CLEC5A	0.1752	0.0672
CLEC7A	0.3708	0.0001
CLECL1	0.3317	0.0004
CLGN	-0.3383	0.0003
CLHC1	-0.4395	0.0
CLIC1	0.6638	0.0
CLIC2	0.4663	0.0
CLIC3	0.1945	0.0417
CLIC4	0.1929	0.0435
CLIC5	0.3185	0.0007
CLIC6	0.1879	0.0494
CLINT1	0.0754	0.434
CLIP1	0.1598	0.0953
CLIP2	0.4819	0.0
CLIP3	0.1416	0.1401
CLIP4	-0.0236	0.8067
CLK1	-0.1794	0.0607
CLK2	-0.1816	0.0576
CLK3	-0.1416	0.1401
CLK4	-0.3137	0.0008
CLMN	-0.4768	0.0
CLMP	0.2642	0.0053
CLN3	0.0241	0.8029
CLN5	0.2592	0.0062
CLN6	0.3831	0.0
CLN8	0.5354	0.0
CLNS1A	-0.0908	0.3453
CLOCK	-0.1426	0.1372
CLP1	0.2851	0.0025
CLPB	0.1608	0.0933
CLPP	0.317	0.0007
CLPSL1	-0.0033	0.9723
CLPSL2	0.0796	0.4083
CLPTM1	0.238	0.0123
CLPTM1L	0.5761	0.0
CLPX	-0.582	0.0
CLSPN	0.2131	0.0254
CLSTN1	-0.1646	0.0856
CLSTN2	0.1517	0.1136
CLSTN3	0.2082	0.029
CLTA	0.4079	0.0
CLTB	0.492	0.0
CLTC	0.1738	0.0694
CLTCL1	0.1496	0.1187
CLU	0.6072	0.0
CLUAP1	-0.0905	0.347
CLUH	0.0049	0.9594
CLUHP3	-0.3727	0.0001
CLUL1	-0.4743	0.0
CLYBL	-0.2335	0.0141
CMAHP	0.1423	0.138
CMAS	-0.1596	0.0958
CMB9-22P13.1	0.0129	0.8939
CMB9-55F22.1	-0.2099	0.0277
CMBL	-0.0096	0.9208
CMC1	0.2497	0.0085
CMC2	0.4374	0.0
CMIP	0.4495	0.0
CMKLR1	0.6787	0.0
CMPK1	0.0333	0.7297
CMPK2	0.4021	0.0
CMSS1	0.2598	0.0061
CMTM1	-0.1052	0.2738
CMTM3	0.7166	0.0
CMTM4	-0.3825	0.0
CMTM6	-0.2168	0.0229
CMTM7	-0.053	0.5824
CMTM8	-0.2709	0.0042
CMTR1	-0.0294	0.7602
CMTR2	-0.3839	0.0
CMYA5	-0.5773	0.0
CNBD2	-0.151	0.1153
CNBP	-0.1502	0.1172
CNDP2	0.2331	0.0142
CNEP1R1	0.2229	0.0192
CNFN	0.0617	0.5218
CNGA1	0.0447	0.6432
CNIH1	0.0615	0.5233
CNIH2	0.0636	0.5089
CNIH3	0.1348	0.1604
CNIH4	0.2804	0.003
CNKSR1	-0.3278	0.0005
CNKSR2	0.0885	0.358
CNKSR3	-0.0491	0.6107
CNN1	0.0265	0.7836
CNN2	0.0032	0.9736
CNN3	0.3755	0.0001
CNNM1	-0.3482	0.0002
CNNM2	-0.5288	0.0
CNNM3	-0.4856	0.0
CNNM4	-0.4538	0.0
CNOT1	-0.3495	0.0002
CNOT10	-0.441	0.0
CNOT11	0.0244	0.8004
CNOT2	-0.4153	0.0
CNOT3	-0.0953	0.3219
CNOT4	-0.291	0.002
CNOT6	-0.4768	0.0
CNOT6L	-0.5002	0.0
CNOT7	-0.5083	0.0
CNOT8	-0.0646	0.5024
CNP	0.4093	0.0
CNPPD1	0.3914	0.0
CNPY2	0.0617	0.5217
CNPY3	0.5058	0.0
CNPY4	0.5423	0.0
CNR1	0.3496	0.0002
CNRIP1	0.4171	0.0
CNST	-0.1355	0.158
CNTD1	-0.2959	0.0017
CNTD2	-0.0755	0.4331
CNTF	-0.0738	0.4438
CNTFR	0.2977	0.0016
CNTLN	0.0099	0.9184
CNTN1	-0.4158	0.0
CNTN2	-0.2624	0.0056
CNTN3	-0.1374	0.1523
CNTN4	0.0635	0.5101
CNTNAP1	0.5693	0.0
CNTNAP2	-0.203	0.0334
CNTNAP3	-0.2881	0.0023
CNTRL	-0.429	0.0
CNTROB	-0.1464	0.1269
COA1	-0.5538	0.0
COA3	0.2048	0.0318
COA4	0.344	0.0002
COA5	-0.2406	0.0114
COA6	0.3136	0.0008
COA7	-0.2732	0.0039
COASY	-0.0667	0.4888
COBL	-0.4715	0.0
COBLL1	0.0976	0.3105
COCH	0.284	0.0026
COG1	0.0501	0.6033
COG2	-0.3496	0.0002
COG3	-0.573	0.0
COG4	0.1727	0.0712
COG5	-0.2971	0.0016
COG6	-0.4385	0.0
COG7	-0.253	0.0077
COG8	-0.2266	0.0173
COIL	-0.6032	0.0
COL10A1	0.1826	0.0563
COL11A1	-0.2733	0.0039
COL11A2	-0.356	0.0001
COL12A1	0.3468	0.0002
COL13A1	-0.1662	0.0827
COL14A1	0.2226	0.0194
COL15A1	0.4029	0.0
COL16A1	0.2787	0.0032
COL17A1	-0.3276	0.0005
COL18A1	0.4222	0.0
COL1A1	0.491	0.0
COL1A2	0.57	0.0
COL21A1	0.1806	0.0591
COL22A1	0.2612	0.0059
COL23A1	-0.2389	0.012
COL24A1	0.0594	0.5375
COL25A1	0.0779	0.4183
COL27A1	-0.2594	0.0062
COL28A1	-0.515	0.0
COL2A1	-0.3687	0.0001
COL3A1	0.4637	0.0
COL4A1	0.385	0.0
COL4A2	0.3987	0.0
COL4A3	-0.443	0.0
COL4A3BP	0.0317	0.742
COL4A4	-0.1973	0.0389
COL4A5	-0.414	0.0
COL4A6	-0.2959	0.0017
COL5A1	0.5054	0.0
COL5A2	0.4773	0.0
COL5A3	0.3701	0.0001
COL6A1	0.6507	0.0
COL6A2	0.6589	0.0
COL6A3	0.4933	0.0
COL6A6	-0.116	0.2275
COL7A1	-0.2515	0.008
COL8A1	0.4256	0.0
COL8A2	0.102	0.2889
COL9A2	-0.1335	0.1643
COL9A3	-0.0798	0.4075
COLCA1	-0.442	0.0
COLCA2	-0.2021	0.0342
COLEC11	0.5815	0.0
COLEC12	0.4495	0.0
COLGALT1	0.6981	0.0
COLGALT2	0.0157	0.8705
COLQ	0.0521	0.5887
COMMD1	0.2708	0.0042
COMMD10	0.0378	0.6951
COMMD2	-0.4082	0.0
COMMD3	0.0213	0.8252
COMMD4	0.389	0.0
COMMD5	0.433	0.0
COMMD6	0.1279	0.1831
COMMD7	0.3163	0.0008
COMMD8	0.3314	0.0004
COMMD9	0.3172	0.0007
COMP	0.5744	0.0
COMT	0.236	0.013
COMTD1	0.2962	0.0017
COPA	-0.0255	0.7911
COPB1	-0.1125	0.2421
COPB2	0.1404	0.1435
COPE	0.4524	0.0
COPG1	0.427	0.0
COPG2	-0.0621	0.5192
COPRS	0.4705	0.0
COPS2	-0.3555	0.0001
COPS3	0.015	0.8765
COPS4	0.054	0.5756
COPS5	0.0045	0.9627
COPS6	0.3853	0.0
COPS7A	0.3523	0.0002
COPS7B	-0.1056	0.272
COPS8	0.2006	0.0356
COPZ1	-0.1099	0.2529
COPZ2	0.4808	0.0
COQ10A	-0.1253	0.192
COQ10B	0.1114	0.2467
COQ2	0.3288	0.0005
COQ3	-0.0279	0.7726
COQ4	-0.0765	0.4269
COQ5	0.112	0.2442
COQ6	-0.1741	0.0689
COQ7	-0.619	0.0
COQ9	0.1273	0.1851
CORIN	-0.0698	0.4685
CORO1A	0.7312	0.0
CORO1B	0.2605	0.006
CORO1C	0.449	0.0
CORO2A	-0.2343	0.0137
CORO2B	0.3643	0.0001
CORO6	0.2811	0.0029
CORO7	0.8411	0.0
COTL1	0.8281	0.0
COX10	-0.1508	0.1158
COX10-AS1	-0.5615	0.0
COX11	-0.4788	0.0
COX14	0.3765	0.0001
COX15	-0.3085	0.001
COX16	0.0707	0.4628
COX17	0.484	0.0
COX18	-0.1892	0.0478
COX19	-0.0563	0.5594
COX20	-0.0668	0.4878
COX4I1	0.2043	0.0323
COX4I2	0.4647	0.0
COX5A	0.2673	0.0048
COX5B	0.269	0.0045
COX6A1	0.3369	0.0003
COX6A1P2	0.1805	0.0592
COX6B1	0.3386	0.0003
COX6C	0.1374	0.1525
COX7A1	0.4405	0.0
COX7A2	0.2534	0.0076
COX7A2L	0.1687	0.0781
COX7B	0.2387	0.012
COX7C	0.1786	0.0619
COX8A	0.3165	0.0008
CP	0.1991	0.0371
CPA3	0.3746	0.0001
CPA4	-0.167	0.0812
CPAMD8	-0.17	0.0758
CPB1	0.0314	0.7443
CPD	-0.142	0.139
CPE	0.161	0.093
CPEB1	0.301	0.0014
CPEB2	-0.2243	0.0185
CPEB3	-0.5987	0.0
CPEB4	-0.2405	0.0114
CPED1	0.2009	0.0353
CPHL1P	-0.329	0.0004
CPLX1	0.1042	0.2785
CPM	0.2965	0.0017
CPNE1	0.2063	0.0306
CPNE2	0.5193	0.0
CPNE3	-0.3134	0.0009
CPNE5	0.1255	0.1913
CPNE7	-0.2503	0.0084
CPNE8	0.3163	0.0008
CPO	0.0773	0.4221
CPOX	-0.2407	0.0113
CPPED1	0.5322	0.0
CPQ	0.524	0.0
CPS1	-0.1727	0.0713
CPSF1	-0.016	0.868
CPSF2	0.0242	0.8022
CPSF3	0.1173	0.2224
CPSF3L	-0.0675	0.4837
CPSF4	0.348	0.0002
CPSF6	-0.4665	0.0
CPSF7	-0.5955	0.0
CPT1A	0.2466	0.0094
CPT1B	-0.1558	0.104
CPT1C	0.4698	0.0
CPT2	-0.0769	0.4245
CPTP	0.234	0.0139
CPVL	0.775	0.0
CPXM1	0.3085	0.001
CPXM2	0.6586	0.0
CPZ	0.3857	0.0
CR1	0.7341	0.0
CRABP1	-0.2283	0.0165
CRABP2	0.0258	0.7889
CRACR2A	-0.3484	0.0002
CRACR2B	-0.2076	0.0296
CRADD	0.0916	0.3414
CRAMP1L	-0.3659	0.0001
CRAT	0.3285	0.0005
CRB2	0.1341	0.1624
CRB3	-0.2165	0.0231
CRBN	-0.2984	0.0015
CRCP	-0.1769	0.0645
CREB1	-0.2648	0.0052
CREB3	0.3725	0.0001
CREB3L1	0.4129	0.0
CREB3L2	-0.0287	0.7659
CREB3L4	-0.3406	0.0003
CREB5	0.2858	0.0025
CREBBP	-0.5238	0.0
CREBL2	0.1855	0.0523
CREBRF	-0.3205	0.0006
CREBZF	-0.4757	0.0
CREG1	0.2511	0.0081
CREG2	0.0835	0.3856
CRELD1	0.3803	0.0
CRELD2	0.4872	0.0
CREM	0.4108	0.0
CRHBP	0.1682	0.079
CRHR1	-0.0827	0.3903
CRHR1-IT1	-0.4623	0.0
CRIM1	-0.0452	0.6391
CRIP1	0.548	0.0
CRIP2	0.4756	0.0
CRIPAK	-0.0976	0.3103
CRIPT	-0.2445	0.01
CRISP3	-0.2246	0.0183
CRISPLD1	-0.4614	0.0
CRISPLD2	0.3468	0.0002
CRK	0.1806	0.0591
CRKL	-0.236	0.0131
CRLF1	0.2089	0.0285
CRLF3	-0.0061	0.9494
CRLS1	0.18	0.0599
CRMP1	0.1231	0.2
CRNDE	-0.3843	0.0
